Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
0,466.0,670.6666666666666,918.0,1522.0,2793.3333333333335,1198.0,4142.0,1638.0,2672.6666666666665,528.0,1499.3333333333333,38530.666666666664,1110.0,2003.3333333333333,748.6666666666666,733.3333333333334,269.3333333333333,1443.3333333333333,351.3333333333333,1133.3333333333333,1013.3333333333334,1849.3333333333333,578.6666666666666,623.3333333333334,498.6666666666667,495.3333333333333,2362.6666666666665,1288.0,893.3333333333334,752.6666666666666,1194.6666666666667,1140.0
1,432.6666666666667,669.3333333333334,906.6666666666666,1522.6666666666667,2743.3333333333335,1254.0,3799.3333333333335,1624.6666666666667,2596.0,504.6666666666667,1478.0,37613.333333333336,1033.3333333333333,1991.3333333333333,747.3333333333334,672.0,270.6666666666667,1490.0,321.3333333333333,1020.6666666666666,1044.0,1758.6666666666667,547.3333333333334,624.6666666666666,509.3333333333333,510.6666666666667,2448.6666666666665,1205.3333333333333,844.0,772.0,1149.3333333333333,1121.3333333333333
2,459.3333333333333,707.3333333333334,982.0,1537.3333333333333,2860.0,1314.0,3886.6666666666665,1659.3333333333333,2872.0,528.0,1566.0,39473.333333333336,1100.6666666666667,2068.0,786.0,779.3333333333334,302.0,1582.0,362.6666666666667,1129.3333333333333,1017.3333333333334,1900.6666666666667,580.0,630.0,595.3333333333334,509.3333333333333,2489.3333333333335,1224.0,886.0,738.6666666666666,1223.3333333333333,1197.3333333333333
3,502.6666666666667,723.3333333333334,978.6666666666666,1529.3333333333333,2958.0,1382.6666666666667,3720.0,1742.0,2922.6666666666665,532.6666666666666,1625.3333333333333,40322.666666666664,1142.6666666666667,2080.0,802.0,812.6666666666666,288.0,1568.0,388.6666666666667,1068.6666666666667,1038.0,1952.0,600.0,672.6666666666666,572.6666666666666,550.0,2570.6666666666665,1365.3333333333333,984.0,765.3333333333334,1242.6666666666667,1241.3333333333333
4,496.6666666666667,698.0,1003.3333333333334,1495.3333333333333,3080.0,1392.6666666666667,3749.3333333333335,1772.0,2948.0,553.3333333333334,1695.3333333333333,41003.333333333336,1146.6666666666667,2178.0,822.6666666666666,813.3333333333334,300.0,1644.6666666666667,372.6666666666667,1154.6666666666667,1062.0,2017.3333333333333,582.0,671.3333333333334,555.3333333333334,546.6666666666666,2580.0,1381.3333333333333,926.6666666666666,805.3333333333334,1294.0,1264.6666666666667
5,499.3333333333333,762.0,1080.0,1574.6666666666667,3168.6666666666665,1449.3333333333333,3716.6666666666665,1912.0,3092.6666666666665,566.0,1741.3333333333333,42684.0,1248.6666666666667,2197.3333333333335,891.3333333333334,832.0,298.0,1656.0,430.6666666666667,1195.3333333333333,1141.3333333333333,2080.6666666666665,588.0,732.6666666666666,608.6666666666666,546.0,2702.0,1380.0,1010.0,850.6666666666666,1348.0,1384.0
6,500.0,784.0,1104.0,1664.0,3381.3333333333335,1482.6666666666667,3875.3333333333335,1919.3333333333333,3242.0,570.0,1813.3333333333333,44476.0,1232.0,2337.3333333333335,954.6666666666666,885.3333333333334,312.0,1747.3333333333333,416.0,1281.3333333333333,1176.0,2144.0,663.3333333333334,719.3333333333334,615.3333333333334,549.3333333333334,2798.6666666666665,1468.0,1084.6666666666667,901.3333333333334,1443.3333333333333,1410.6666666666667
7,592.6666666666666,774.6666666666666,1108.6666666666667,1709.3333333333333,3561.3333333333335,1474.6666666666667,3941.3333333333335,1982.6666666666667,3368.6666666666665,595.3333333333334,1772.6666666666667,46000.666666666664,1304.6666666666667,2436.6666666666665,978.0,939.3333333333334,328.6666666666667,1735.3333333333333,450.6666666666667,1300.0,1198.6666666666667,2292.6666666666665,645.3333333333334,825.3333333333334,674.0,622.6666666666666,2929.3333333333335,1490.6666666666667,1126.0,887.3333333333334,1488.6666666666667,1464.6666666666667
8,546.0,811.3333333333334,1113.3333333333333,1677.3333333333333,3606.6666666666665,1546.0,4057.3333333333335,1990.0,3573.3333333333335,615.3333333333334,1943.3333333333333,47155.333333333336,1250.6666666666667,2466.0,988.6666666666666,964.0,339.3333333333333,1846.6666666666667,440.6666666666667,1372.6666666666667,1194.6666666666667,2395.3333333333335,660.6666666666666,810.6666666666666,654.6666666666666,628.0,3002.0,1542.6666666666667,1157.3333333333333,941.3333333333334,1528.0,1491.3333333333333
9,588.0,859.3333333333334,1204.0,1744.6666666666667,3667.3333333333335,1594.0,3980.0,2002.6666666666667,3600.0,628.0,1926.6666666666667,48130.666666666664,1380.6666666666667,2554.6666666666665,1019.3333333333334,956.6666666666666,361.3333333333333,1883.3333333333333,497.3333333333333,1416.0,1257.3333333333333,2424.6666666666665,660.0,806.6666666666666,686.0,640.0,3014.6666666666665,1511.3333333333333,1151.3333333333333,969.3333333333334,1569.3333333333333,1576.0
10,614.0,874.6666666666666,1249.3333333333333,1720.0,3768.0,1673.3333333333333,4116.0,2023.3333333333333,3782.6666666666665,592.0,1982.6666666666667,49400.666666666664,1377.3333333333333,2583.3333333333335,1078.6666666666667,1041.3333333333333,334.6666666666667,1912.0,485.3333333333333,1416.6666666666667,1271.3333333333333,2504.0,689.3333333333334,862.0,672.0,678.6666666666666,3198.0,1650.0,1183.3333333333333,936.6666666666666,1582.0,1548.0
11,642.6666666666666,885.3333333333334,1214.0,1796.6666666666667,3901.3333333333335,1722.6666666666667,4037.3333333333335,2013.3333333333333,3644.6666666666665,647.3333333333334,1985.3333333333333,50106.0,1410.6666666666667,2720.6666666666665,1072.6666666666667,1035.3333333333333,354.0,1986.0,489.3333333333333,1457.3333333333333,1316.6666666666667,2598.6666666666665,671.3333333333334,844.6666666666666,705.3333333333334,637.3333333333334,3154.6666666666665,1620.6666666666667,1251.3333333333333,989.3333333333334,1606.6666666666667,1692.6666666666667
12,605.3333333333334,878.0,1322.0,1793.3333333333333,3934.0,1749.3333333333333,4189.333333333333,1994.0,3861.3333333333335,587.3333333333334,1962.0,50836.0,1503.3333333333333,2694.0,1066.6666666666667,1083.3333333333333,354.6666666666667,1922.0,487.3333333333333,1474.0,1308.0,2584.0,704.6666666666666,866.6666666666666,698.0,684.6666666666666,3236.6666666666665,1714.0,1288.6666666666667,977.3333333333334,1628.6666666666667,1683.3333333333333
13,628.6666666666666,895.3333333333334,1249.3333333333333,1729.3333333333333,3888.6666666666665,1754.6666666666667,4026.0,1984.0,3656.6666666666665,652.6666666666666,2026.0,50170.666666666664,1462.6666666666667,2644.6666666666665,1074.6666666666667,1022.0,331.3333333333333,1967.3333333333333,508.6666666666667,1535.3333333333333,1258.6666666666667,2523.3333333333335,700.0,904.0,691.3333333333334,655.3333333333334,3118.0,1668.0,1284.6666666666667,950.6666666666666,1747.3333333333333,1631.3333333333333
14,634.0,841.3333333333334,1232.0,1694.0,3756.0,1740.0,3832.0,1944.6666666666667,3532.0,587.3333333333334,2029.3333333333333,48954.666666666664,1466.6666666666667,2629.3333333333335,1031.3333333333333,1035.3333333333333,330.0,1932.0,482.6666666666667,1440.6666666666667,1277.3333333333333,2462.6666666666665,682.6666666666666,850.6666666666666,664.0,661.3333333333334,3054.0,1681.3333333333333,1237.3333333333333,948.0,1608.6666666666667,1656.0
15,562.0,847.3333333333334,1258.6666666666667,1700.6666666666667,3616.0,1648.6666666666667,3628.0,1850.0,3298.6666666666665,584.6666666666666,1850.0,46960.0,1418.6666666666667,2500.0,1058.6666666666667,982.6666666666666,352.0,1829.3333333333333,494.6666666666667,1426.6666666666667,1226.6666666666667,2333.3333333333335,640.6666666666666,834.6666666666666,668.0,636.0,2848.6666666666665,1618.6666666666667,1217.3333333333333,908.0,1574.0,1546.6666666666667
16,582.0,774.0,1233.3333333333333,1614.0,3447.3333333333335,1627.3333333333333,3605.3333333333335,1822.0,3020.6666666666665,574.6666666666666,1975.3333333333333,45209.333333333336,1338.0,2344.0,970.6666666666666,875.3333333333334,329.3333333333333,1818.0,444.6666666666667,1380.6666666666667,1252.0,2183.3333333333335,607.3333333333334,777.3333333333334,676.0,610.6666666666666,2721.3333333333335,1541.3333333333333,1207.3333333333333,898.6666666666666,1536.6666666666667,1420.6666666666667
17,584.6666666666666,790.6666666666666,1229.3333333333333,1631.3333333333333,3403.3333333333335,1577.3333333333333,3760.0,1848.0,3044.0,569.3333333333334,1857.3333333333333,45350.666666666664,1402.0,2412.0,976.6666666666666,947.3333333333334,330.6666666666667,1743.3333333333333,430.0,1360.6666666666667,1220.6666666666667,2130.0,650.6666666666666,774.6666666666666,642.0,622.0,2741.3333333333335,1637.3333333333333,1150.0,885.3333333333334,1510.6666666666667,1488.0
18,602.0,738.0,1126.6666666666667,1765.3333333333333,3190.6666666666665,1523.3333333333333,4289.333333333333,1958.6666666666667,2982.0,688.6666666666666,1697.3333333333333,44501.333333333336,1285.3333333333333,2397.3333333333335,942.6666666666666,866.0,299.3333333333333,1800.6666666666667,406.0,1301.3333333333333,1166.0,2059.3333333333335,532.6666666666666,814.0,599.3333333333334,598.0,2647.3333333333335,1423.3333333333333,1132.6666666666667,842.6666666666666,1484.0,1341.3333333333333
19,551.3333333333334,610.0,1100.0,2270.0,2820.0,1208.6666666666667,4896.666666666667,2157.3333333333335,2905.3333333333335,1176.0,1500.6666666666667,43064.0,1118.6666666666667,2326.6666666666665,750.0,753.3333333333334,219.33333333333334,1926.0,375.3333333333333,1180.0,945.3333333333334,1928.0,489.3333333333333,678.6666666666666,485.3333333333333,614.6666666666666,2634.6666666666665,1184.0,1062.0,744.6666666666666,1208.6666666666667,1243.3333333333333
20,540.0,562.0,1044.6666666666667,2360.6666666666665,2524.6666666666665,1203.3333333333333,5402.0,2184.6666666666665,2768.6666666666665,1349.3333333333333,1368.0,42496.0,1086.6666666666667,2222.0,726.0,698.0,229.33333333333334,1954.6666666666667,374.0,1278.0,873.3333333333334,1820.0,435.3333333333333,660.6666666666666,464.0,584.6666666666666,2466.6666666666665,1215.3333333333333,1042.6666666666667,736.6666666666666,1176.0,1144.0
21,542.0,554.6666666666666,901.3333333333334,2345.3333333333335,2380.6666666666665,1138.6666666666667,5426.666666666667,2056.6666666666665,2528.0,1389.3333333333333,1233.3333333333333,40440.666666666664,1012.0,2033.3333333333333,696.6666666666666,683.3333333333334,184.66666666666666,1771.3333333333333,338.0,1140.6666666666667,842.0,1697.3333333333333,445.3333333333333,588.0,458.6666666666667,572.0,2455.3333333333335,1170.0,987.3333333333334,731.3333333333334,1054.6666666666667,1082.0
22,512.6666666666666,570.0,1002.0,2451.3333333333335,2368.0,1154.0,6060.666666666667,2161.3333333333335,2551.3333333333335,1309.3333333333333,1184.0,41478.666666666664,1037.3333333333333,1926.6666666666667,662.0,662.6666666666666,214.66666666666666,1967.3333333333333,344.0,1145.3333333333333,862.6666666666666,1620.0,444.6666666666667,610.0,443.3333333333333,543.3333333333334,2482.6666666666665,1188.0,980.6666666666666,735.3333333333334,1177.3333333333333,1106.0
23,480.0,583.3333333333334,854.0,2333.3333333333335,2258.6666666666665,1047.3333333333333,6654.0,2164.6666666666665,2488.6666666666665,1148.0,1150.6666666666667,40614.666666666664,1064.6666666666667,1906.6666666666667,662.6666666666666,640.6666666666666,219.33333333333334,1731.3333333333333,332.0,1052.6666666666667,828.0,1546.6666666666667,441.3333333333333,596.0,428.6666666666667,501.3333333333333,2522.0,1130.6666666666667,974.6666666666666,701.3333333333334,1148.0,1023.3333333333334
24,446.0,551.3333333333334,836.6666666666666,2278.0,2175.3333333333335,1038.0,7061.333333333333,2112.6666666666665,2394.6666666666665,1151.3333333333333,1100.6666666666667,39732.0,988.0,1783.3333333333333,690.6666666666666,603.3333333333334,181.33333333333334,1696.6666666666667,297.3333333333333,979.3333333333334,772.6666666666666,1502.0,442.6666666666667,591.3333333333334,374.0,491.3333333333333,2433.3333333333335,1139.3333333333333,899.3333333333334,718.0,1063.3333333333333,938.6666666666666
25,416.6666666666667,560.6666666666666,838.6666666666666,2341.3333333333335,2061.3333333333335,984.0,7534.0,2073.3333333333335,2418.0,1100.6666666666667,1080.0,39508.666666666664,986.6666666666666,1767.3333333333333,668.0,567.3333333333334,190.66666666666666,1750.6666666666667,294.0,943.3333333333334,757.3333333333334,1361.3333333333333,398.6666666666667,569.3333333333334,408.0,473.3333333333333,2422.6666666666665,1081.3333333333333,844.6666666666666,694.0,1024.6666666666667,896.6666666666666
26,442.0,518.0,786.0,2260.0,2049.3333333333335,1004.6666666666666,7776.0,2043.3333333333333,2387.3333333333335,1014.6666666666666,1032.6666666666667,38826.666666666664,912.0,1628.6666666666667,644.0,594.6666666666666,188.0,1704.6666666666667,324.6666666666667,892.6666666666666,752.0,1338.0,410.0,526.6666666666666,386.6666666666667,419.3333333333333,2262.6666666666665,1020.0,842.6666666666666,692.0,1053.3333333333333,920.0
27,438.6666666666667,500.0,786.6666666666666,2307.3333333333335,2030.0,961.3333333333334,7960.666666666667,1992.6666666666667,2427.3333333333335,956.6666666666666,936.6666666666666,39126.666666666664,940.6666666666666,1723.3333333333333,648.0,598.0,183.33333333333334,1644.6666666666667,308.0,974.6666666666666,743.3333333333334,1358.0,426.0,548.0,378.6666666666667,420.6666666666667,2358.6666666666665,1031.3333333333333,869.3333333333334,686.0,1054.6666666666667,933.3333333333334
