"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","2006","State","Both sexes","Number","4239848"
"Population at Each Census","2006","State","Male","Number","2121171"
"Population at Each Census","2006","State","Female","Number","2118677"
"Population at Each Census","2006","Carlow","Both sexes","Number","50349"
"Population at Each Census","2006","Carlow","Male","Number","25611"
"Population at Each Census","2006","Carlow","Female","Number","24738"
"Population at Each Census","2006","Dublin","Both sexes","Number","1187176"
"Population at Each Census","2006","Dublin","Male","Number","582557"
"Population at Each Census","2006","Dublin","Female","Number","604619"
"Population at Each Census","2006","Kildare","Both sexes","Number","186335"
"Population at Each Census","2006","Kildare","Male","Number","94190"
"Population at Each Census","2006","Kildare","Female","Number","92145"
"Population at Each Census","2006","Kilkenny","Both sexes","Number","87558"
"Population at Each Census","2006","Kilkenny","Male","Number","44263"
"Population at Each Census","2006","Kilkenny","Female","Number","43295"
"Population at Each Census","2006","Laois","Both sexes","Number","67059"
"Population at Each Census","2006","Laois","Male","Number","34409"
"Population at Each Census","2006","Laois","Female","Number","32650"
"Population at Each Census","2006","Longford","Both sexes","Number","34391"
"Population at Each Census","2006","Longford","Male","Number","17573"
"Population at Each Census","2006","Longford","Female","Number","16818"
"Population at Each Census","2006","Louth","Both sexes","Number","111267"
"Population at Each Census","2006","Louth","Male","Number","55335"
"Population at Each Census","2006","Louth","Female","Number","55932"
"Population at Each Census","2006","Meath","Both sexes","Number","162831"
"Population at Each Census","2006","Meath","Male","Number","82651"
"Population at Each Census","2006","Meath","Female","Number","80180"
"Population at Each Census","2006","Offaly","Both sexes","Number","70868"
"Population at Each Census","2006","Offaly","Male","Number","35937"
"Population at Each Census","2006","Offaly","Female","Number","34931"
"Population at Each Census","2006","Westmeath","Both sexes","Number","79346"
"Population at Each Census","2006","Westmeath","Male","Number","39819"
"Population at Each Census","2006","Westmeath","Female","Number","39527"
"Population at Each Census","2006","Wexford","Both sexes","Number","131749"
"Population at Each Census","2006","Wexford","Male","Number","66070"
"Population at Each Census","2006","Wexford","Female","Number","65679"
"Population at Each Census","2006","Wicklow","Both sexes","Number","126194"
"Population at Each Census","2006","Wicklow","Male","Number","62905"
"Population at Each Census","2006","Wicklow","Female","Number","63289"
"Population at Each Census","2006","Clare","Both sexes","Number","110950"
"Population at Each Census","2006","Clare","Male","Number","56048"
"Population at Each Census","2006","Clare","Female","Number","54902"
"Population at Each Census","2006","Cork","Both sexes","Number","481295"
"Population at Each Census","2006","Cork","Male","Number","240814"
"Population at Each Census","2006","Cork","Female","Number","240481"
"Population at Each Census","2006","Kerry","Both sexes","Number","139835"
"Population at Each Census","2006","Kerry","Male","Number","70641"
"Population at Each Census","2006","Kerry","Female","Number","69194"
"Population at Each Census","2006","Limerick","Both sexes","Number","184055"
"Population at Each Census","2006","Limerick","Male","Number","92680"
"Population at Each Census","2006","Limerick","Female","Number","91375"
"Population at Each Census","2006","Tipperary","Both sexes","Number","149244"
"Population at Each Census","2006","Tipperary","Male","Number","75818"
"Population at Each Census","2006","Tipperary","Female","Number","73426"
"Population at Each Census","2006","Waterford","Both sexes","Number","107961"
"Population at Each Census","2006","Waterford","Male","Number","53932"
"Population at Each Census","2006","Waterford","Female","Number","54029"
"Population at Each Census","2006","Galway","Both sexes","Number","231670"
"Population at Each Census","2006","Galway","Male","Number","116476"
"Population at Each Census","2006","Galway","Female","Number","115194"
"Population at Each Census","2006","Leitrim","Both sexes","Number","28950"
"Population at Each Census","2006","Leitrim","Male","Number","14903"
"Population at Each Census","2006","Leitrim","Female","Number","14047"
"Population at Each Census","2006","Mayo","Both sexes","Number","123839"
"Population at Each Census","2006","Mayo","Male","Number","62636"
"Population at Each Census","2006","Mayo","Female","Number","61203"
"Population at Each Census","2006","Roscommon","Both sexes","Number","58768"
"Population at Each Census","2006","Roscommon","Male","Number","30178"
"Population at Each Census","2006","Roscommon","Female","Number","28590"
"Population at Each Census","2006","Sligo","Both sexes","Number","60894"
"Population at Each Census","2006","Sligo","Male","Number","30257"
"Population at Each Census","2006","Sligo","Female","Number","30637"
"Population at Each Census","2006","Cavan","Both sexes","Number","64003"
"Population at Each Census","2006","Cavan","Male","Number","32915"
"Population at Each Census","2006","Cavan","Female","Number","31088"
"Population at Each Census","2006","Donegal","Both sexes","Number","147264"
